Name,UID,Code,parentUID,Short name,Description,,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number,,,parentCode,
Kampong Leaeng,,404,nQBnaJoX2fv,,,,,,,,,,,,,,,,4,04
Kampong Tralach,,405,nQBnaJoX2fv,,,,,,,,,,,,,,,,4,04
Rolea B'ier,,406,nQBnaJoX2fv,,,,,,,,,,,,,,,,4,04
Sameakki Mean Chey,,407,nQBnaJoX2fv,,,,,,,,,,,,,,,,4,04
Tuek Phos,,408,nQBnaJoX2fv,,,,,,,,,,,,,,,,4,04
Basedth,,501,dWNPRCyhgSS,,,,,,,,,,,,,,,,5,05
Chbar Mon,,502,dWNPRCyhgSS,,,,,,,,,,,,,,,,5,05
Kong Pisei,,503,dWNPRCyhgSS,,,,,,,,,,,,,,,,5,05
Aoral,,504,dWNPRCyhgSS,,,,,,,,,,,,,,,,5,05
Odongk,,505,dWNPRCyhgSS,,,,,,,,,,,,,,,,5,05
Phnum Sruoch,,506,dWNPRCyhgSS,,,,,,,,,,,,,,,,5,05
Thpong,,508,dWNPRCyhgSS,,,,,,,,,,,,,,,,5,05
Baray,,601,Ej8qVxlaxG3,,,,,,,,,,,,,,,,6,06
Kampong Svay,,602,Ej8qVxlaxG3,,,,,,,,,,,,,,,,6,06
Stueng Saen,,603,Ej8qVxlaxG3,,,,,,,,,,,,,,,,6,06
Prasat Ballangk,,604,Ej8qVxlaxG3,,,,,,,,,,,,,,,,6,06
Prasat Sambour,,605,Ej8qVxlaxG3,,,,,,,,,,,,,,,,6,06
Sandan,,606,Ej8qVxlaxG3,,,,,,,,,,,,,,,,6,06
Santuk,,607,Ej8qVxlaxG3,,,,,,,,,,,,,,,,6,06
Stoung,,608,Ej8qVxlaxG3,,,,,,,,,,,,,,,,6,06
Angkor Chey,,701,ZwgW55f9X9N,,,,,,,,,,,,,,,,7,07
Banteay Meas,,702,ZwgW55f9X9N,,,,,,,,,,,,,,,,7,07
Chhuk,,703,ZwgW55f9X9N,,,,,,,,,,,,,,,,7,07
Chum Kiri,,704,ZwgW55f9X9N,,,,,,,,,,,,,,,,7,07
Dang Tong,,705,ZwgW55f9X9N,,,,,,,,,,,,,,,,7,07
Kampong Trach,,706,ZwgW55f9X9N,,,,,,,,,,,,,,,,7,07
Kampot,,707,ZwgW55f9X9N,,,,,,,,,,,,,,,,7,07
Kampong Bay,,708,ZwgW55f9X9N,,,,,,,,,,,,,,,,7,07
Botum Sakor,,901,IJkR02TF0Rc,,,,,,,,,,,,,,,,9,09
Kiri Sakor,,902,IJkR02TF0Rc,,,,,,,,,,,,,,,,9,09
Kaoh Kong,,903,IJkR02TF0Rc,,,,,,,,,,,,,,,,9,09
Smach Mean Chey,,904,IJkR02TF0Rc,,,,,,,,,,,,,,,,9,09
Mondol Seima,,905,IJkR02TF0Rc,,,,,,,,,,,,,,,,9,09
Srae Ambel,,906,IJkR02TF0Rc,,,,,,,,,,,,,,,,9,09
Thma Bang,,907,IJkR02TF0Rc,,,,,,,,,,,,,,,,9,09
Kracheh,,1002,#N/A,,,,,,,,,,,,,,,,10,10
Preaek Prasab,,1003,#N/A,,,,,,,,,,,,,,,,10,10
Chitr Borie,,1006,#N/A,,,,,,,,,,,,,,,,10,10
Sambour,,1004,#N/A,,,,,,,,,,,,,,,,10,10
Snuol,,1005,#N/A,,,,,,,,,,,,,,,,10,10
Keo Seima,,1101,#N/A,,,,,,,,,,,,,,,,11,11
Kaoh Nheaek,,1102,#N/A,,,,,,,,,,,,,,,,11,11
Ou Reang,,1103,#N/A,,,,,,,,,,,,,,,,11,11
Pech Chreada,,1104,#N/A,,,,,,,,,,,,,,,,11,11
Saen Monourom,,1105,#N/A,,,,,,,,,,,,,,,,11,11
Chey Saen,,1301,#N/A,,,,,,,,,,,,,,,,13,13
Chhaeb,,1302,#N/A,,,,,,,,,,,,,,,,13,13
Choam Khsant,,1303,#N/A,,,,,,,,,,,,,,,,13,13
Kuleaen,,1304,#N/A,,,,,,,,,,,,,,,,13,13
Rovieng,,1305,#N/A,,,,,,,,,,,,,,,,13,13
Sangkom Thmei,,1306,#N/A,,,,,,,,,,,,,,,,13,13
Tbaeng Mean Chey,,1307,#N/A,,,,,,,,,,,,,,,,13,13
Krong Preah Vihear,,1308,#N/A,,,,,,,,,,,,,,,,13,13
Bakan,,1501,#N/A,,,,,,,,,,,,,,,,15,15
Kandieng,,1502,#N/A,,,,,,,,,,,,,,,,15,15
Sampov Meas,,1505,#N/A,,,,,,,,,,,,,,,,15,15
Ban Lung,,1602,#N/A,,,,,,,,,,,,,,,,16,16
Koun Mom,,1604,#N/A,,,,,,,,,,,,,,,,16,16
Lumphat,,1605,#N/A,,,,,,,,,,,,,,,,16,16
Ou Chum,,1606,#N/A,,,,,,,,,,,,,,,,16,16
Ta Veaeng,,1608,#N/A,,,,,,,,,,,,,,,,16,16
Veun Sai,,1609,#N/A,,,,,,,,,,,,,,,,16,16
Angkor Chum,,1701,#N/A,,,,,,,,,,,,,,,,17,17
Angkor Thum,,1702,#N/A,,,,,,,,,,,,,,,,17,17
Banteay Srei,,1703,#N/A,,,,,,,,,,,,,,,,17,17
Chi Kraeng,,1704,#N/A,,,,,,,,,,,,,,,,17,17
Kralanh,,1706,#N/A,,,,,,,,,,,,,,,,17,17
Puok,,1707,#N/A,,,,,,,,,,,,,,,,17,17
Prasat Bakong,,1709,#N/A,,,,,,,,,,,,,,,,17,17
Siem Reab,,1710,#N/A,,,,,,,,,,,,,,,,17,17
Soutr Nikom,,1711,#N/A,,,,,,,,,,,,,,,,17,17
Srei Snam,,1712,#N/A,,,,,,,,,,,,,,,,17,17
Svay Leu,,1713,#N/A,,,,,,,,,,,,,,,,17,17
Varin,,1714,#N/A,,,,,,,,,,,,,,,,17,17
Mittapheap,,1801,#N/A,,,,,,,,,,,,,,,,18,18
Prey Nob,,1802,#N/A,,,,,,,,,,,,,,,,18,18
Stueng Hav,,1803,#N/A,,,,,,,,,,,,,,,,18,18
Kampong Seila,,1804,#N/A,,,,,,,,,,,,,,,,18,18
Sesan,,1901,#N/A,,,,,,,,,,,,,,,,19,19
Siem Bouk,,1902,#N/A,,,,,,,,,,,,,,,,19,19
Siem Pang,,1903,#N/A,,,,,,,,,,,,,,,,19,19
Stueng Traeng,,1904,#N/A,,,,,,,,,,,,,,,,19,19
Thala Barivat,,1905,#N/A,,,,,,,,,,,,,,,,19,19
Angkor Borei,,2101,#N/A,,,,,,,,,,,,,,,,21,21
Bati,,2102,#N/A,,,,,,,,,,,,,,,,21,21
Kiri Vong,,2104,#N/A,,,,,,,,,,,,,,,,21,21
Prey Kabbas,,2106,#N/A,,,,,,,,,,,,,,,,21,21
Samraong,,2107,#N/A,,,,,,,,,,,,,,,,21,21
Doun Kaev,,2108,#N/A,,,,,,,,,,,,,,,,21,21
Tram Kak,,2109,#N/A,,,,,,,,,,,,,,,,21,21
Treang,,2110,#N/A,,,,,,,,,,,,,,,,21,21
Banteay Ampil,,2202,#N/A,,,,,,,,,,,,,,,,22,22
Chong Kal,,2203,#N/A,,,,,,,,,,,,,,,,22,22
Samraong,,2204,#N/A,,,,,,,,,,,,,,,,22,22
Damnak Chang'aeur,,2301,#N/A,,,,,,,,,,,,,,,,23,23
Kaeb,,2302,#N/A,,,,,,,,,,,,,,,,23,23
Pailin,,2401,#N/A,,,,,,,,,,,,,,,,24,24
Sala Krau,,2402,#N/A,,,,,,,,,,,,,,,,24,24
