Name,UID,Code,Parent UID,Short name,Description,Opening date,Closed date,Comment,Feature type,,URL,Contact person,Address,Email,Phone number,,,
Ou Andoung Kaeut,,VL102011700,g6V8aAt2Mve,,,,,,,"[103.054513,13.469237]",,,,,,VLVL102011700,,10201
Kouk Kduoch,,VL102011800,g6V8aAt2Mve,,,,,,,"[103.071915,13.47098]",,,,,,VLVL102011800,,10201
Khtum Reay Lech,,VL102011900,B3Nbt46ZgbW,,,,,,,"[102.98944,13.505579]",,,,,,VLVL102011900,,10202
Khtum Reay Kaeut,,VL102020100,B3Nbt46ZgbW,,,,,,,"[102.990228,13.502946]",,,,,,VLVL102020100,,10202
Anlong Thngan Kaeut,,VL102020200,B3Nbt46ZgbW,,,,,,,"[102.988448,13.513705]",,,,,,VLVL102020200,,10202
Anlong Thngan Lech,,VL102020300,B3Nbt46ZgbW,,,,,,,"[102.986593,13.514593]",,,,,,VLVL102020300,,10202
Bang Bat Lech,,VL102020400,B3Nbt46ZgbW,,,,,,,"[102.990204,13.524564]",,,,,,VLVL102020400,,10202
Bang Bat Kaeut,,VL102020500,B3Nbt46ZgbW,,,,,,,"[102.992051,13.524578]",,,,,,VLVL102020500,,10202
Bat Trang,,VL102020600,B3Nbt46ZgbW,,,,,,,"[102.991059,13.532704]",,,,,,VLVL102020600,,10202
Bat Trang Thum Lech,,VL102020700,B3Nbt46ZgbW,,,,,,,"[102.986419,13.535378]",,,,,,VLVL102020700,,10202
Bat Trang Thum Kaeut,,VL102020800,B3Nbt46ZgbW,,,,,,,"[102.989182,13.536304]",,,,,,VLVL102020800,,10202
Bang Bat Touch,,VL102020900,B3Nbt46ZgbW,,,,,,,"[102.988198,13.543526]",,,,,,VLVL102020900,,10202
Preaek Chik,,VL102021000,B3Nbt46ZgbW,,,,,,,"[102.984442,13.550725]",,,,,,VLVL102021000,,10202
Pralay Char,,VL102021100,AiMN29zOu0p,,,,,,,"[102.955667,13.453207]",,,,,,VLVL102021100,,10203
Rongvean Lech,,VL102030100,AiMN29zOu0p,,,,,,,"[102.944333,13.452771]",,,,,,VLVL102030100,,10203
Rongvean Kaeut,,VL102030200,AiMN29zOu0p,,,,,,,"[102.960676,13.450554]",,,,,,VLVL102030200,,10203
Chamnaom Lech,,VL102030300,AiMN29zOu0p,,,,,,,"[102.937044,13.448925]",,,,,,VLVL102030300,,10203
Chamnaom Kaeut,,VL102030400,AiMN29zOu0p,,,,,,,"[102.934559,13.443681]",,,,,,VLVL102030400,,10203
Roung Kou Daeum,,VL102030500,AiMN29zOu0p,,,,,,,"[102.931851,13.436429]",,,,,,VLVL102030500,,10203
Roung Kou Kandal,,VL102030600,AiMN29zOu0p,,,,,,,"[102.9615,13.424019]",,,,,,VLVL102030600,,10203
Roung Kou Chong,,VL102030700,AiMN29zOu0p,,,,,,,"[102.931866,13.434622]",,,,,,VLVL102030700,,10203
Peam Roung Kou,,VL102030800,AiMN29zOu0p,,,,,,,"[102.93189,13.431911]",,,,,,VLVL102030800,,10203
Ta Sal,,VL102030900,AiMN29zOu0p,,,,,,,"[102.9345,13.424612]",,,,,,VLVL102030900,,10203
Chuor Khchas,,VL102031000,AiMN29zOu0p,,,,,,,"[102.931603,13.416853]",,,,,,VLVL102031000,,10203
Boeng Tras,,VL102031100,AiMN29zOu0p,,,,,,,"[102.951437,13.413093]",,,,,,VLVL102031100,,10203
Dang Trang,,VL102031200,AiMN29zOu0p,,,,,,,"[102.965307,13.410494]",,,,,,VLVL102031200,,10203
Srae Prey,,VL102031300,AiMN29zOu0p,,,,,,,"[102.979093,13.417834]",,,,,,VLVL102031300,,10203
Bos Tonloab,,VL102031400,AiMN29zOu0p,,,,,,,"[102.968787,13.435826]",,,,,,VLVL102031400,,10203
Ta Bun,,VL102031500,AiMN29zOu0p,,,,,,,"[102.956884,13.423981]",,,,,,VLVL102031500,,10203
Kouk Ponley,,VL102031600,AiMN29zOu0p,,,,,,,"[102.970588,13.441263]",,,,,,VLVL102031600,,10203
Say Samaon,,VL102031700,AiMN29zOu0p,,,,,,,"[102.837841,13.448535]",,,,,,VLVL102031700,,10203
Damnak Preah Angk,,VL102031800,AiMN29zOu0p,,,,,,,"[102.837959,13.477534]",,,,,,VLVL102031800,,10203
Kouk Ballangk,,VL102031900,gRW6vkAVJ1V,,,,,,,"[103.0814,13.469652]",,,,,,VLVL102031900,,10204
Ta An,,VL102040100,gRW6vkAVJ1V,,,,,,,"[103.089747,13.471071]",,,,,,VLVL102040100,,10204
Pralay Chrey,,VL102040200,gRW6vkAVJ1V,,,,,,,"[103.093974,13.471356]",,,,,,VLVL102040200,,10204
Cheung Chab,,VL102040300,gRW6vkAVJ1V,,,,,,,"[103.099953,13.474276]",,,,,,VLVL102040300,,10204
Phat Sandaong,,VL102040400,gRW6vkAVJ1V,,,,,,,"[103.105197,13.47333]",,,,,,VLVL102040400,,10204
Char Thmei,,VL102040500,gRW6vkAVJ1V,,,,,,,"[103.1181,13.474259]",,,,,,VLVL102040500,,10204
Ph'av Thmei,,VL102040600,gRW6vkAVJ1V,,,,,,,"[103.128188,13.478636]",,,,,,VLVL102040600,,10204
Ta Sal,,VL102040700,gRW6vkAVJ1V,,,,,,,"[103.158818,13.482668]",,,,,,VLVL102040700,,10204
Koy Maeng,,VL102040800,cjR4EN7k3y2,,,,,,,"[103.095271,13.553402]",,,,,,VLVL102040800,,10205
Sdei Leu,,VL102050100,cjR4EN7k3y2,,,,,,,"[103.080413,13.548065]",,,,,,VLVL102050100,,10205
Phlov Siem,,VL102050200,cjR4EN7k3y2,,,,,,,"[103.090086,13.551383]",,,,,,VLVL102050200,,10205
Ta Nong,,VL102050300,cjR4EN7k3y2,,,,,,,"[103.093334,13.555303]",,,,,,VLVL102050300,,10205
Angkar Khmau,,VL102050400,cjR4EN7k3y2,,,,,,,"[103.109106,13.556219]",,,,,,VLVL102050400,,10205
Kasang Thmei,,VL102050500,cjR4EN7k3y2,,,,,,,"[103.113696,13.559869]",,,,,,VLVL102050500,,10205
Stueng Chas,,VL102050600,cjR4EN7k3y2,,,,,,,"[103.100806,13.554348]",,,,,,VLVL102050600,,10205
Sdei Kraom,,VL102050700,cjR4EN7k3y2,,,,,,,"[103.085433,13.549893]",,,,,,VLVL102050700,,10205
Phnum Thum Tboung,,VL102050800,dVxHzZMSj4s,,,,,,,"[103.015189,13.432717]",,,,,,VLVL102050800,,10206
Phnum Prasat,,VL102060100,dVxHzZMSj4s,,,,,,,"[103.015088,13.445016]",,,,,,VLVL102060100,,10206
Phnum Thum Cheung,,VL102060200,dVxHzZMSj4s,,,,,,,"[103.01331,13.445589]",,,,,,VLVL102060200,,10206
Chamkar Louk,,VL102060300,dVxHzZMSj4s,,,,,,,"[103.006069,13.44696]",,,,,,VLVL102060300,,10206
Phnum Thum Thmei,,VL102060400,dVxHzZMSj4s,,,,,,,"[103.016649,13.451634]",,,,,,VLVL102060400,,10206
Anlong Sdei,,VL102060500,dVxHzZMSj4s,,,,,,,"[103.023146,13.449815]",,,,,,VLVL102060500,,10206
Kouk Thnong Kaeut,,VL102060600,dVxHzZMSj4s,,,,,,,"[103.035164,13.448101]",,,,,,VLVL102060600,,10206
Kouk Thnong Kandal,,VL102060700,dVxHzZMSj4s,,,,,,,"[103.029617,13.448962]",,,,,,VLVL102060700,,10206
Ou Snguot,,VL102060800,dVxHzZMSj4s,,,,,,,"[103.011009,13.465987]",,,,,,VLVL102060800,,10206
Ou Prasat,,VL102060900,dVxHzZMSj4s,,,,,,,"[102.998983,13.468602]",,,,,,VLVL102060900,,10206
Kouk Ampil,,VL102061000,dVxHzZMSj4s,,,,,,,"[103.005369,13.474681]",,,,,,VLVL102061000,,10206
Ra Chamkar Chek,,VL102061100,dVxHzZMSj4s,,,,,,,"[103.010029,13.457149]",,,,,,VLVL102061100,,10206
Pou Rieng,,VL102061200,dVxHzZMSj4s,,,,,,,"[103.008721,13.481377]",,,,,,VLVL102061200,,10206
Rung Krabau,,VL102061300,dVxHzZMSj4s,,,,,,,"[103.002504,13.489416]",,,,,,VLVL102061300,,10206
Phnum Touch Tboung,,VL102061400,uby2nP45Siw,,,,,,,"[103.019816,13.405505]",,,,,,VLVL102061400,,10207
Phnum Touch Cheung,,VL102070100,uby2nP45Siw,,,,,,,"[103.018849,13.41092]",,,,,,VLVL102070100,,10207
Thnal Bat,,VL102070200,uby2nP45Siw,,,,,,,"[103.016876,13.426268]",,,,,,VLVL102070200,,10207
Ou Nhor,,VL102070300,uby2nP45Siw,,,,,,,"[103.020806,13.397379]",,,,,,VLVL102070300,,10207
Boeng Tras,,VL102070400,uby2nP45Siw,,,,,,,"[103.002053,13.432477]",,,,,,VLVL102070400,,10207
Monourom,,VL102070500,uby2nP45Siw,,,,,,,"[103.006833,13.412633]",,,,,,VLVL102070500,,10207
Paoy Ta Sek,,VL102070600,uby2nP45Siw,,,,,,,"[103.038297,13.397714]",,,,,,VLVL102070600,,10207
Prey Totueng,,VL102070700,uby2nP45Siw,,,,,,,"[103.032832,13.424902]",,,,,,VLVL102070700,,10207
Boeng Reang,,VL102070800,uby2nP45Siw,,,,,,,"[103.011493,13.407247]",,,,,,VLVL102070800,,10207
Voat Thmei,,VL102070900,uby2nP45Siw,,,,,,,"[103.016936,13.419039]",,,,,,VLVL102070900,,10207
Pou Pir Daeum,,VL102071000,LjEoTmYnfAY,,,,,,,"[102.984906,13.495602]",,,,,,VLVL102071000,,10208
Rohat Tuek,,VL102080100,LjEoTmYnfAY,,,,,,,"[102.984981,13.486565]",,,,,,VLVL102080100,,10208
Thnal Bat,,VL102080200,LjEoTmYnfAY,,,,,,,"[102.985379,13.48204]",,,,,,VLVL102080200,,10208
Kramol,,VL102080300,LjEoTmYnfAY,,,,,,,"[102.975793,13.481069]",,,,,,VLVL102080300,,10208
Khtum Chrum,,VL102080400,LjEoTmYnfAY,,,,,,,"[102.980843,13.471268]",,,,,,VLVL102080400,,10208
Chak Lech,,VL102080500,LjEoTmYnfAY,,,,,,,"[102.960172,13.471905]",,,,,,VLVL102080500,,10208
Doun Mul,,VL102080600,LjEoTmYnfAY,,,,,,,"[102.968179,13.466267]",,,,,,VLVL102080600,,10208
Preaek Samraong,,VL102080700,LjEoTmYnfAY,,,,,,,"[102.962095,13.462884]",,,,,,VLVL102080700,,10208
Ou Dangkao,,VL102080800,LjEoTmYnfAY,,,,,,,"[102.983384,13.456729]",,,,,,VLVL102080800,,10208
Chamkar Chek,,VL102080900,LjEoTmYnfAY,,,,,,,"[102.97786,13.454877]",,,,,,VLVL102080900,,10208
Ou Chuob,,VL102081000,LjEoTmYnfAY,,,,,,,"[102.977913,13.448552]",,,,,,VLVL102081000,,10208
Ka Svay,,VL102081100,LjEoTmYnfAY,,,,,,,"[102.988757,13.43473]",,,,,,VLVL102081100,,10208
Chak Kaeut,,VL102081200,LjEoTmYnfAY,,,,,,,"[102.966831,13.472827]",,,,,,VLVL102081200,,10208
Anhchanh,,VL102081300,PnZ3DvrRaQx,,,,,,,"[103.040639,13.541014]",,,,,,VLVL102081300,,10209
Neang Ket,,VL102090100,PnZ3DvrRaQx,,,,,,,"[103.004816,13.544563]",,,,,,VLVL102090100,,10209
Praek Ropov,,VL102090200,PnZ3DvrRaQx,,,,,,,"[102.999228,13.54994]",,,,,,VLVL102090200,,10209
Sala Daeng,,VL102090300,PnZ3DvrRaQx,,,,,,,"[103.005709,13.548185]",,,,,,VLVL102090300,,10209
Samraong,,VL102090400,PnZ3DvrRaQx,,,,,,,"[103.027907,13.544746]",,,,,,VLVL102090400,,10209
Anlong Mean Troap,,VL102090500,PnZ3DvrRaQx,,,,,,,"[103.054632,13.541141]",,,,,,VLVL102090500,,10209
Chamkar Ta Daok,,VL102090600,PnZ3DvrRaQx,,,,,,,"[103.018951,13.530812]",,,,,,VLVL102090600,,10209
Pralay Luong Kraom,,VL102090700,PnZ3DvrRaQx,,,,,,,"[103.039959,13.539418]",,,,,,VLVL102090700,,10209
Luong,,VL102090800,PnZ3DvrRaQx,,,,,,,"[103.031661,13.537545]",,,,,,VLVL102090800,,10209
Ou Ta Kol,,VL102090900,PnZ3DvrRaQx,,,,,,,"[103.052067,13.541944]",,,,,,VLVL102090900,,10209
Pralay Luong Leu,,VL102091000,PnZ3DvrRaQx,,,,,,,"[103.034966,13.537834]",,,,,,VLVL102091000,,10209
Kouk Svay,,VL102091100,PnZ3DvrRaQx,,,,,,,"[103.023326,13.540191]",,,,,,VLVL102091100,,10209
Ou Ta Ma,,VL102091200,PnZ3DvrRaQx,,,,,,,"[103.071645,13.548232]",,,,,,VLVL102091200,,10209
Kaoh Kaev,,VL102091300,PnZ3DvrRaQx,,,,,,,"[103.021441,13.544695]",,,,,,VLVL102091300,,10209
Phasi Sra,,VL102091400,PnZ3DvrRaQx,,,,,,,"[103.03148,13.541584]",,,,,,VLVL102091400,,10209
Ruessei Kraok,,VL102091500,PnZ3DvrRaQx,,,,,,,"[103.025158,13.542013]",,,,,,VLVL102091500,,10209
Chumteav,,VL102091600,PnZ3DvrRaQx,,,,,,,"[103.019751,13.525703]",,,,,,VLVL102091600,,10209
Chhnaeum Meas,,VL102091700,EDIUU3YVraS,,,,,,,"[103.178055,13.479003]",,,,,,VLVL102091700,,10210
Sranal,,VL102100100,EDIUU3YVraS,,,,,,,"[103.179923,13.476305]",,,,,,VLVL102100100,,10210
La,,VL102100200,EDIUU3YVraS,,,,,,,"[103.183637,13.47362]",,,,,,VLVL102100200,,10210
Ta Meaeng Pok,,VL102100300,EDIUU3YVraS,,,,,,,"[103.189171,13.474564]",,,,,,VLVL102100300,,10210
Sambuor,,VL102100400,EDIUU3YVraS,,,,,,,"[103.198474,13.465593]",,,,,,VLVL102100400,,10210
Doun Loek,,VL102100500,EDIUU3YVraS,,,,,,,"[103.22441,13.454931]",,,,,,VLVL102100500,,10210
Kbal Krabei,,VL102100600,EDIUU3YVraS,,,,,,,"[103.228131,13.451342]",,,,,,VLVL102100600,,10210
Srah Chhuk,,VL102100700,EDIUU3YVraS,,,,,,,"[103.231818,13.452272]",,,,,,VLVL102100700,,10210
Srae Prey,,VL102100800,EDIUU3YVraS,,,,,,,"[103.237365,13.451407]",,,,,,VLVL102100800,,10210
Chaek Angkar,,VL102100900,EDIUU3YVraS,,,,,,,"[103.24677,13.427973]",,,,,,VLVL102100900,,10210
Thma Dab,,VL102101000,EDIUU3YVraS,,,,,,,"[103.237622,13.416159]",,,,,,VLVL102101000,,10210
Ta Mau,,VL102101100,NAFuQLl76Pi,,,,,,,"[102.93028,13.370762]",,,,,,VLVL102101100,,10211
Ansam Chek,,VL102110100,NAFuQLl76Pi,,,,,,,"[102.927785,13.372233]",,,,,,VLVL102110100,,10211
Tnaot,,VL102110200,NAFuQLl76Pi,,,,,,,"[102.93079,13.375953]",,,,,,VLVL102110200,,10211
Buor,,VL102110300,NAFuQLl76Pi,,,,,,,"[102.932644,13.383686]",,,,,,VLVL102110300,,10211
Bos Laok,,VL102110400,NAFuQLl76Pi,,,,,,,"[102.934563,13.389205]",,,,,,VLVL102110400,,10211
Soea,,VL102110500,NAFuQLl76Pi,,,,,,,"[102.928515,13.394831]",,,,,,VLVL102110500,,10211
Boeng Touch,,VL102110600,NAFuQLl76Pi,,,,,,,"[102.927576,13.396631]",,,,,,VLVL102110600,,10211
Phlov Damrei Leu,,VL102110700,NAFuQLl76Pi,,,,,,,"[102.930212,13.400349]",,,,,,VLVL102110700,,10211
Phlov Damrei Kraom,,VL102110800,NAFuQLl76Pi,,,,,,,"[102.932777,13.404807]",,,,,,VLVL102110800,,10211
Ou Soea,,VL102110900,NAFuQLl76Pi,,,,,,,"[102.941383,13.401262]",,,,,,VLVL102110900,,10211
Kouk Samraong,,VL102111000,NAFuQLl76Pi,,,,,,,"[102.98308,13.382621]",,,,,,VLVL102111000,,10211
Ballangk Chrey,,VL102111100,NAFuQLl76Pi,,,,,,,"[102.787928,13.414567]",,,,,,VLVL102111100,,10211
Ou Chuob Thmei,,VL102111200,NAFuQLl76Pi,,,,,,,"[102.775674,13.423053]",,,,,,VLVL102111200,,10211
Ta In Muoy,,VL102111300,uXVaYcbNHL5,,,,,,,"[103.052026,13.502585]",,,,,,VLVL102111300,,10212
Ta In Pir,,VL102120100,uXVaYcbNHL5,,,,,,,"[103.057003,13.503862]",,,,,,VLVL102120100,,10212
Krouch,,VL102120200,uXVaYcbNHL5,,,,,,,"[103.060212,13.504582]",,,,,,VLVL102120200,,10212
Chamkar Chek,,VL102120300,uXVaYcbNHL5,,,,,,,"[103.063427,13.505592]",,,,,,VLVL102120300,,10212
Srah Reang,,VL102120400,uXVaYcbNHL5,,,,,,,"[103.071654,13.503514]",,,,,,VLVL102120400,,10212
Ta Chan,,VL102120500,uXVaYcbNHL5,,,,,,,"[103.07721,13.501749]",,,,,,VLVL102120500,,10212
Kouk Srok,,VL102120600,uXVaYcbNHL5,,,,,,,"[103.084605,13.500902]",,,,,,VLVL102120600,,10212
Kouk Chrab,,VL102120700,uXVaYcbNHL5,,,,,,,"[103.093855,13.499165]",,,,,,VLVL102120700,,10212
Kouk Krasang,,VL102120800,uXVaYcbNHL5,,,,,,,"[103.099375,13.501918]",,,,,,VLVL102120800,,10212
Preah Srae,,VL102120900,mQukKLFmhZl,,,,,,,"[103.043823,13.518662]",,,,,,VLVL102120900,,10213
Ta Lam Kandal,,VL102130100,mQukKLFmhZl,,,,,,,"[103.051205,13.519623]",,,,,,VLVL102130100,,10213
Ta Lam Chong,,VL102130200,mQukKLFmhZl,,,,,,,"[103.078673,13.524364]",,,,,,VLVL102130200,,10213
Boeng Khleang Lech,,VL102130300,mQukKLFmhZl,,,,,,,"[103.11219,13.516475]",,,,,,VLVL102130300,,10213
Chong Kouk,,VL102130400,mQukKLFmhZl,,,,,,,"[103.100141,13.521807]",,,,,,VLVL102130400,,10213
Boeng Khleang Kaeut,,VL102130500,mQukKLFmhZl,,,,,,,"[103.119551,13.520146]",,,,,,VLVL102130500,,10213
Khla Kham Chhkae,,VL102130600,mQukKLFmhZl,,,,,,,"[103.141366,13.519233]",,,,,,VLVL102130600,,10213
Boeng Veaeng,,VL102130700,mQukKLFmhZl,,,,,,,"[103.148743,13.496865]",,,,,,VLVL102130700,,10213
Rongvean,,VL102130800,F6sQ0kAGQlD,,,,,,,"[103.421839,13.788047]",,,,,,VLVL102130800,,10301
Thmei Khang Tboung,,VL103010100,F6sQ0kAGQlD,,,,,,,"[103.399058,13.816788]",,,,,,VLVL103010100,,10301
Thmei Khang Cheung,,VL103010200,F6sQ0kAGQlD,,,,,,,"[103.390316,13.815592]",,,,,,VLVL103010200,,10301
Kouk Yeang,,VL103010300,F6sQ0kAGQlD,,,,,,,"[103.388332,13.821689]",,,,,,VLVL103010300,,10301
Kouk Chas,,VL103010400,F6sQ0kAGQlD,,,,,,,"[103.401078,13.825813]",,,,,,VLVL103010400,,10301
Chrab,,VL103010500,F6sQ0kAGQlD,,,,,,,"[103.398253,13.833026]",,,,,,VLVL103010500,,10301
Kantuot,,VL103010600,F6sQ0kAGQlD,,,,,,,"[103.399123,13.841166]",,,,,,VLVL103010600,,10301
Nam Tau,,VL103010700,F6sQ0kAGQlD,,,,,,,"[103.399079,13.847493]",,,,,,VLVL103010700,,10301
Pongro,,VL103010800,F6sQ0kAGQlD,,,,,,,"[103.397742,13.853676]",,,,,,VLVL103010800,,10301
Samraong,,VL103010900,F6sQ0kAGQlD,,,,,,,"[103.409021,13.881906]",,,,,,VLVL103010900,,10301
Khnang,,VL103011000,F6sQ0kAGQlD,,,,,,,"[103.419106,13.89553]",,,,,,VLVL103011000,,10301
Thnong Khang Tboung,,VL103011100,F6sQ0kAGQlD,,,,,,,"[103.424272,13.904711]",,,,,,VLVL103011100,,10301
Thnong Khang Cheung,,VL103011200,F6sQ0kAGQlD,,,,,,,"[103.432857,13.9146]",,,,,,VLVL103011200,,10301
Deu,,VL103011300,F6sQ0kAGQlD,,,,,,,"[103.431848,13.91345]",,,,,,VLVL103011300,,10301
Slaeng,,VL103011301,F6sQ0kAGQlD,,,,,,,"[103.387359,13.803126]",,,,,,VLVL103011301,,10301
Takung,,VL103011400,F6sQ0kAGQlD,,,,,,,"[103.370239,13.853603]",,,,,,VLVL103011400,,10301
Yeang Otdam,,VL103011500,F6sQ0kAGQlD,,,,,,,"[103.355626,13.842668]",,,,,,VLVL103011500,,10301
Popul,,VL103011600,F6sQ0kAGQlD,,,,,,,"[103.353184,13.841571]",,,,,,VLVL103011600,,10301
Sla Kream,,VL103011601,F6sQ0kAGQlD,,,,,,,"[103.353184,13.841571]",,,,,,VLVL103011601,,10301
Ampil Kaong,,VL103011602,F6sQ0kAGQlD,,,,,,,"[103.366414,13.856859]",,,,,,VLVL103011602,,10301
Kong Siem,,VL103011700,F6sQ0kAGQlD,,,,,,,"[103.362638,13.853173]",,,,,,VLVL103011700,,10301
Paoy Snuol,,VL103011800,b4Bndn3BGCH,,,,,,,"[103.315631,13.766165]",,,,,,VLVL103011800,,10302
Paoy Char,,VL103020100,b4Bndn3BGCH,,,,,,,"[103.310648,13.767243]",,,,,,VLVL103020100,,10302
Trapeang Thma Tboung,,VL103020200,b4Bndn3BGCH,,,,,,,"[103.313604,13.775398]",,,,,,VLVL103020200,,10302
Trapeang Thma Cheung,,VL103020300,b4Bndn3BGCH,,,,,,,"[103.315397,13.785895]",,,,,,VLVL103020300,,10302
Trapeang Thma Kandal,,VL103020400,b4Bndn3BGCH,,,,,,,"[103.3137,13.780053]",,,,,,VLVL103020400,,10302
Paoy Ta Ong,,VL103020500,b4Bndn3BGCH,,,,,,,"[103.317323,13.79209]",,,,,,VLVL103020500,,10302
Sambuor,,VL103020600,b4Bndn3BGCH,,,,,,,"[103.32718,13.811762]",,,,,,VLVL103020600,,10302
Pongro,,VL103020700,b4Bndn3BGCH,,,,,,,"[103.328965,13.820813]",,,,,,VLVL103020700,,10302
Ta Vong,,VL103020800,jE7gbQ2Uxht,,,,,,,"[103.226673,13.771289]",,,,,,VLVL103020800,,10303
Ponley,,VL103030100,jE7gbQ2Uxht,,,,,,,"[103.187517,13.812579]",,,,,,VLVL103030100,,10303
Svay Sa,,VL103030200,jE7gbQ2Uxht,,,,,,,"[103.185204,13.75291]",,,,,,VLVL103030200,,10303
Svay Khmau,,VL103030300,jE7gbQ2Uxht,,,,,,,"[103.213659,13.780233]",,,,,,VLVL103030300,,10303
Kouk Ta Sokh,,VL103030400,jE7gbQ2Uxht,,,,,,,"[103.234145,13.7614]",,,,,,VLVL103030400,,10303
Pou Roam Bon,,VL103030500,jE7gbQ2Uxht,,,,,,,"[103.244511,13.735263]",,,,,,VLVL103030500,,10303
Rouk,,VL103030600,ymBqjHyloRZ,,,,,,,"[103.40932,13.701129]",,,,,,VLVL103030600,,10304
Mukh Chhneang,,VL103040100,ymBqjHyloRZ,,,,,,,"[103.417506,13.726735]",,,,,,VLVL103040100,,10304
Spean,,VL103040200,ymBqjHyloRZ,,,,,,,"[103.431621,13.684097]",,,,,,VLVL103040200,,10304
Kouk Char,,VL103040300,ymBqjHyloRZ,,,,,,,"[103.423332,13.679525]",,,,,,VLVL103040300,,10304
Kandaol,,VL103040400,ymBqjHyloRZ,,,,,,,"[103.412626,13.674204]",,,,,,VLVL103040400,,10304
Pongro,,VL103040500,ymBqjHyloRZ,,,,,,,"[103.407176,13.668041]",,,,,,VLVL103040500,,10304
Moat Srah,,VL103040600,qyTzUOALO1O,,,,,,,"[103.335971,13.74584]",,,,,,VLVL103040600,,10305
Srah Chhuk Khang Lech,,VL103050100,qyTzUOALO1O,,,,,,,"[103.327852,13.745794]",,,,,,VLVL103050100,,10305
Srah Chik,,VL103050200,qyTzUOALO1O,,,,,,,"[103.334959,13.73984]",,,,,,VLVL103050200,,10305
Kouk Kraol,,VL103050300,qyTzUOALO1O,,,,,,,"[103.324175,13.714124]",,,,,,VLVL103050300,,10305
Kouk Rumchek,,VL103050400,qyTzUOALO1O,,,,,,,"[103.309616,13.681486]",,,,,,VLVL103050400,,10305
Kouk Ta Reach,,VL103050500,qyTzUOALO1O,,,,,,,"[103.333369,13.721418]",,,,,,VLVL103050500,,10305
Kandal Khang Lech,,VL103050600,qyTzUOALO1O,,,,,,,"[103.339233,13.739535]",,,,,,VLVL103050600,,10305
Kandal Khang Kaeut,,VL103050700,qyTzUOALO1O,,,,,,,"[103.343412,13.739563]",,,,,,VLVL103050700,,10305
Srah Chhuk Khang Kaeut,,VL103050800,qyTzUOALO1O,,,,,,,"[103.343361,13.746793]",,,,,,VLVL103050800,,10305
Phnum Dei,,VL103050900,RLOaEjCSt2q,,,,,,,"[103.362433,13.738054]",,,,,,VLVL103050900,,10306
Ponley,,VL103060100,RLOaEjCSt2q,,,,,,,"[103.379085,13.795841]",,,,,,VLVL103060100,,10306
Kouk Seh,,VL103060200,RLOaEjCSt2q,,,,,,,"[103.359067,13.748706]",,,,,,VLVL103060200,,10306
Thnal Dach,,VL103060300,RLOaEjCSt2q,,,,,,,"[103.352757,13.750553]",,,,,,VLVL103060300,,10306
Bos Sbov,,VL103060400,RLOaEjCSt2q,,,,,,,"[103.355551,13.72247]",,,,,,VLVL103060400,,10306
Trapeang Prei,,VL103060500,RLOaEjCSt2q,,,,,,,"[103.369294,13.740639]",,,,,,VLVL103060500,,10306
Kamping Puoy,,VL103060600,RLOaEjCSt2q,,,,,,,"[103.369943,13.780414]",,,,,,VLVL103060600,,10306
Spean Khmeng,,VL103060700,RLOaEjCSt2q,,,,,,,"[103.370311,13.733966]",,,,,,VLVL103060700,,10306
Trang,,VL103060800,RLOaEjCSt2q,,,,,,,"[103.341689,13.746592]",,,,,,VLVL103060800,,10306
